1	1	1
1	2	2
1	3	2
1	7	5
1	8	4
1	9	4
1	10	2
1	11	1
1	12	2
1	13	4
1	14	2
1	16	3
1	17	2
1	18	5
1	19	4
1	20	3
1	21	3
1	22	3
1	23	4
1	24	2
1	25	1
1	27	5
1	28	2
1	29	5
1	30	1
1	31	1
1	32	3
1	33	3
1	34	1
1	35	4
1	36	5
1	37	2
1	38	1
1	39	1
1	42	5
1	44	4
1	45	3
1	47	3
1	49	5
1	50	5
1	52	4
1	54	2
1	55	3
1	56	2
1	57	5
1	58	2
1	59	4
1	60	5
2	1	5
2	2	1
2	3	3
2	4	2
2	6	4
2	7	3
2	8	2
2	9	1
2	12	4
2	13	2
2	14	5
2	15	2
2	16	4
2	17	2
2	18	5
2	19	5
2	20	5
2	21	4
2	22	3
2	23	1
2	24	5
2	25	3
2	26	5
2	28	5
2	29	5
2	30	3
2	31	2
2	32	4
2	33	5
2	34	4
2	35	4
2	36	4
2	37	2
2	38	5
2	39	1
2	40	1
2	41	1
2	44	4
2	46	5
2	49	4
2	50	2
2	53	5
2	54	1
2	55	2
2	56	3
2	60	4
3	1	1
3	2	3
3	3	4
3	4	4
3	5	1
3	7	3
3	8	3
3	9	4
3	10	2
3	11	5
3	12	1
3	14	4
3	15	4
3	16	5
3	17	2
3	18	5
3	19	1
3	20	5
3	21	5
3	23	1
3	24	4
3	25	4
3	26	2
3	27	3
3	28	3
3	29	3
3	30	3
3	31	4
3	32	5
3	33	3
3	34	2
3	35	1
3	38	1
3	39	2
3	42	4
3	43	4
3	44	1
3	45	1
3	47	2
3	48	4
3	49	4
3	50	3
3	52	4
3	53	2
3	54	3
3	55	1
3	57	5
3	59	3
3	60	1
4	1	5
4	2	2
4	3	4
4	4	1
4	5	4
4	7	3
4	8	2
4	10	4
4	11	2
4	12	4
4	13	4
4	14	3
4	15	3
4	16	3
4	17	4
4	18	4
4	19	3
4	20	3
4	21	2
4	22	1
4	24	5
4	25	5
4	26	3
4	27	4
4	28	4
4	30	3
4	31	2
4	32	4
4	33	2
4	34	5
4	35	5
4	39	3
4	40	4
4	42	3
4	43	5
4	44	4
4	45	2
4	46	1
4	47	5
4	48	2
4	49	4
4	50	4
4	52	3
4	53	3
4	54	2
4	56	4
4	57	3
4	58	2
4	60	5
5	1	3
5	3	5
5	4	2
5	5	2
5	6	4
5	7	3
5	8	1
5	10	1
5	11	3
5	12	3
5	13	4
5	14	4
5	15	3
5	16	3
5	17	3
5	18	3
5	19	4
5	20	5
5	21	4
5	22	2
5	23	3
5	24	2
5	25	3
5	26	5
5	27	3
5	28	2
5	29	4
5	30	5
5	31	2
5	32	1
5	34	3
5	35	5
5	36	2
5	37	1
5	39	1
5	40	1
5	41	5
5	42	2
5	43	1
5	45	2
5	47	1
5	48	3
5	49	1
5	50	1
5	51	3
5	52	1
5	53	4
5	54	1
5	55	5
5	56	3
5	57	4
5	58	4
5	60	2
6	2	2
6	3	2
6	4	3
6	5	1
6	6	2
6	7	3
6	8	5
6	9	3
6	10	4
6	11	3
6	12	2
6	13	5
6	14	3
6	15	4
6	16	1
6	18	4
6	20	4
6	21	3
6	22	4
6	23	3
6	25	4
6	28	1
6	30	3
6	32	3
6	33	1
6	34	3
6	35	3
6	36	4
6	37	3
6	39	2
6	40	1
6	42	5
6	44	5
6	46	4
6	47	5
6	48	5
6	49	2
6	51	2
6	52	3
6	53	3
6	55	1
6	56	4
6	57	1
6	58	1
6	59	3
6	60	2
7	1	3
7	2	4
7	3	1
7	4	5
7	6	3
7	7	5
7	8	5
7	10	1
7	11	5
7	12	3
7	14	3
7	15	1
7	16	1
7	17	1
7	19	2
7	21	3
7	23	3
7	24	1
7	25	4
7	26	3
7	27	5
7	28	4
7	29	2
7	31	4
7	32	1
7	33	4
7	34	2
7	35	4
7	36	1
7	37	3
7	38	3
7	39	2
7	41	2
7	42	5
7	44	5
7	45	4
7	46	5
7	49	1
7	50	3
7	51	1
7	52	5
7	53	5
7	54	3
7	56	2
7	57	4
7	58	4
7	59	1
7	60	5
8	1	3
8	2	2
8	3	2
8	4	3
8	6	4
8	7	2
8	8	2
8	9	1
8	10	1
8	12	3
8	13	5
8	14	3
8	17	2
8	18	5
8	20	1
8	21	2
8	22	5
8	23	3
8	24	5
8	25	1
8	26	3
8	27	1
8	28	1
8	29	5
8	30	1
8	31	1
8	32	2
8	33	3
8	34	5
8	35	4
8	36	4
8	37	5
8	39	4
8	40	4
8	41	4
8	42	3
8	43	5
8	44	4
8	45	1
8	46	5
8	47	3
8	48	5
8	49	1
8	50	1
8	51	1
8	52	3
8	53	3
8	54	3
8	55	5
8	56	4
8	57	5
8	58	4
8	59	1
8	60	5
9	1	5
9	2	2
9	3	3
9	4	1
9	6	3
9	7	1
9	8	4
9	10	4
9	11	3
9	13	5
9	14	4
9	15	4
9	16	1
9	17	4
9	18	2
9	19	1
9	20	4
9	21	4
9	24	4
9	25	2
9	26	1
9	27	5
9	28	1
9	29	4
9	30	4
9	31	3
9	33	2
9	35	4
9	38	1
9	39	4
9	40	4
9	41	5
9	46	2
9	48	2
9	50	4
9	51	3
9	52	2
9	53	5
9	54	4
9	55	5
9	56	2
9	57	3
9	58	2
9	59	2
9	60	5
10	1	2
10	2	4
10	3	4
10	4	5
10	5	3
10	6	4
10	8	4
10	9	5
10	10	1
10	11	2
10	12	5
10	13	2
10	15	2
10	16	3
10	17	3
10	18	1
10	19	5
10	20	4
10	22	5
10	24	4
10	25	4
10	26	1
10	27	3
10	29	4
10	30	4
10	32	3
10	33	3
10	34	1
10	35	5
10	36	5
10	37	4
10	38	4
10	39	2
10	40	2
10	41	5
10	42	1
10	43	4
10	45	1
10	46	5
10	47	5
10	48	4
10	49	5
10	50	5
10	51	2
10	52	4
10	53	4
10	55	2
10	56	4
10	58	3
10	59	1
10	60	1
11	1	1
11	2	3
11	3	1
11	4	3
11	5	2
11	6	5
11	7	5
11	9	4
11	10	4
11	11	4
11	12	5
11	13	2
11	16	2
11	18	4
11	19	2
11	20	3
11	21	3
11	22	5
11	23	3
11	24	5
11	25	3
11	26	1
11	27	1
11	28	3
11	29	2
11	30	5
11	33	4
11	35	1
11	36	5
11	37	5
11	38	2
11	39	5
11	40	4
11	41	3
11	42	4
11	44	2
11	45	5
11	47	1
11	48	1
11	49	1
11	50	3
11	51	5
11	52	4
11	53	1
11	54	3
11	55	4
11	56	3
11	57	5
11	58	1
11	59	2
11	60	4
12	1	2
12	2	4
12	3	5
12	4	2
12	5	1
12	6	1
12	7	1
12	9	3
12	10	4
12	11	5
12	12	2
12	15	5
12	16	3
12	17	4
12	18	2
12	19	4
12	20	1
12	21	3
12	23	3
12	24	4
12	26	5
12	27	1
12	28	1
12	29	3
12	30	2
12	31	5
12	32	5
12	33	5
12	35	2
12	36	1
12	38	1
12	39	3
12	40	1
12	44	3
12	45	5
12	46	5
12	47	2
12	48	2
12	49	4
12	50	2
12	52	5
12	53	4
12	54	4
12	55	4
12	56	3
12	57	2
12	58	3
12	59	2
12	60	5
13	1	3
13	3	3
13	4	3
13	5	3
13	6	1
13	8	3
13	9	4
13	10	2
13	12	4
13	13	3
13	14	3
13	15	1
